neo_id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,diameter_min_km,diameter_max_km,velocity_kms,miss_distance_km,approach_date,approach_date_full,orbiting_body,is_hazardous,is_sentry,created_at
2003361,2003361,3361 Orpheus (1982 HR),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003361,19.56,0.3255029858,0.727846803,9.0768495495,5673385.615127522,2025-11-19,2025-Nov-19 01:27,Earth,true,false,2025-10-03 19:19:02.427056
2085770,2085770,85770 (1998 UP1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2085770,20.72,0.1907897226,0.4266187892,16.3684345492,57986612.60543506,2025-10-13,2025-Oct-13 22:50,Earth,false,false,2025-10-03 19:15:36.514855
2099907,2099907,99907 (1989 VA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2099907,17.93,0.6895328745,1.54184238,19.827032048,27622619.356832154,2025-10-24,2025-Oct-24 23:52,Earth,false,false,2025-10-03 19:19:00.869599
2138175,2138175,138175 (2000 EE104),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2138175,20.49,0.2121069879,0.4742856434,6.3696666511,18284485.487655617,2025-11-06,2025-Nov-06 14:44,Earth,true,false,2025-10-03 19:19:00.869599
2138852,2138852,138852 (2000 WN10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2138852,20.3,0.2315021222,0.5176544822,16.0835108909,25822595.77667504,2025-11-10,2025-Nov-10 17:02,Earth,false,false,2025-10-03 19:19:01.670502
2144900,2144900,144900 (2004 VG64),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2144900,18.29,0.5841911542,1.3062911326,28.475968817,12784021.546439795,2025-10-23,2025-Oct-23 01:57,Earth,true,false,2025-10-03 19:19:00.208277
2162080,2162080,162080 (1998 DG16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2162080,19.95,0.2719912773,0.6081909854,17.0825053715,61525294.06124466,2025-10-08,2025-Oct-08 12:06,Earth,false,false,2025-10-03 13:34:50.502954
2162142,2162142,162142 (1998 VR),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2162142,18.83,0.4555698523,1.0186851583,12.3530070794,29772682.220830217,2025-10-26,2025-Oct-26 17:22,Earth,false,false,2025-10-03 19:19:00.869599
2164206,2164206,164206 (2004 FN18),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2164206,17.66,0.7808272775,1.7459828712,11.916102043,16796323.276363116,2025-11-07,2025-Nov-07 16:57,Earth,false,false,2025-10-03 19:19:01.670502
2208023,2208023,208023 (1999 AQ10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2208023,20.52,0.2091967709,0.4677782004,16.1585371089,44350723.61090935,2025-10-26,2025-Oct-26 04:34,Earth,true,false,2025-10-03 19:19:00.869599
2247517,2247517,247517 (2002 QY6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2247517,19.64,0.313729225,0.7015198735,18.2933115903,20515575.808930915,2025-10-05,2025-Oct-05 00:22,Earth,false,false,2025-10-03 13:34:50.502954
2306383,2306383,306383 (1993 VD),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2306383,21.49,0.1338304618,0.2992540101,12.0937452605,36229439.909612484,2025-11-03,2025-Nov-03 06:11,Earth,true,false,2025-10-03 19:19:00.869599
2319988,2319988,319988 (2007 DK),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2319988,19.45,0.3424167308,0.7656670868,14.2822478089,19650688.633822095,2025-10-05,2025-Oct-05 10:50,Earth,false,false,2025-10-03 13:34:50.502954
2348306,2348306,348306 (2005 AY28),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2348306,21.55,0.1301832102,0.2910985075,14.352505896,21919364.028674703,2025-11-11,2025-Nov-11 08:58,Earth,true,false,2025-10-03 19:19:01.670502
2376879,2376879,376879 (2001 WW1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2376879,22.35,0.0900647767,0.2013909631,13.192614997,33377882.653771274,2025-11-25,2025-Nov-25 19:22,Earth,false,false,2025-10-03 19:19:02.427056
2410777,2410777,410777 (2009 FD),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2410777,22.18,0.0973991073,0.217791025,25.3729599626,46770632.20487786,2025-11-10,2025-Nov-10 05:22,Earth,false,false,2025-10-03 19:19:01.670502
2428209,2428209,428209 (2006 VC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2428209,20.12,0.2515098375,0.5623930936,20.5205337236,64358027.92573653,2025-11-14,2025-Nov-14 10:42,Earth,true,false,2025-10-03 19:19:01.670502
2434051,2434051,434051 (2001 UW16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434051,19.69,0.3065878759,0.6855513317,20.7286502543,74064914.21647316,2025-11-12,2025-Nov-12 00:44,Earth,false,false,2025-10-03 19:19:01.670502
2434196,2434196,434196 (2003 HG2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2434196,21.59,0.1278070988,0.285785361,10.932463649,6677100.885178236,2025-10-27,2025-Oct-27 23:12,Earth,true,false,2025-10-03 19:19:00.869599
2469219,2469219,469219 Kamo`oalewa (2016 HO3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2469219,24.31,0.0365220357,0.0816657545,4.6134711312,17924030.25763869,2025-11-02,2025-Nov-02 04:13,Earth,false,false,2025-10-03 19:19:00.869599
2477719,2477719,477719 (2010 SG15),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2477719,25.26,0.0235806068,0.0527278398,5.1613522899,14627344.868727792,2025-10-06,2025-Oct-06 21:14,Earth,false,false,2025-10-03 13:34:50.502954
2481127,2481127,481127 (2005 UJ6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2481127,21.5,0.1332155667,0.2978790628,27.9761751978,71199142.63477795,2025-11-08,2025-Nov-08 02:33,Earth,false,false,2025-10-03 19:19:01.670502
2497232,2497232,497232 (2005 EF),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2497232,20.74,0.1890405519,0.4227075246,9.179064926,66532318.0451028,2025-10-12,2025-Oct-12 18:49,Earth,false,false,2025-10-03 19:15:37.148944
2504181,2504181,504181 (2006 TC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2504181,18.81,0.4597851883,1.028110936,51.7044125793,74718468.89377016,2025-10-12,2025-Oct-12 01:38,Earth,false,false,2025-10-03 19:15:37.148944
2509505,2509505,509505 (2007 VL8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2509505,21.23,0.1508533561,0.3373183589,26.4021429796,74434294.7994894,2025-10-30,2025-Oct-30 07:04,Earth,false,false,2025-10-03 19:19:00.869599
2516155,2516155,516155 (2016 DP),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2516155,20.11,0.2526707542,0.5649889822,16.6869774533,4787018.44481454,2025-11-24,2025-Nov-24 00:56,Earth,true,false,2025-10-03 19:19:03.299427
2517046,2517046,517046 (2013 AA53),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2517046,19.54,0.3285148278,0.7345814866,20.5754962573,55516801.168951735,2025-11-17,2025-Nov-17 12:26,Earth,false,false,2025-10-03 19:19:01.670502
2529951,2529951,529951 (2010 UD),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2529951,21.08,0.1616422833,0.3614431336,13.24977885,47339925.687420115,2025-10-14,2025-Oct-14 12:26,Earth,true,false,2025-10-03 19:15:36.514855
2706765,2706765,706765 (2010 TK7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2706765,20.78,0.185590173,0.4149922428,15.8792524702,38840884.849893816,2025-11-28,2025-Nov-28 12:27,Earth,false,false,2025-10-03 19:19:02.427056
2843079,2843079,843079 (2016 CB32),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2843079,18.7,0.4836764882,1.0815335068,4.6294978741,29494151.047964584,2025-11-19,2025-Nov-19 19:12,Earth,false,false,2025-10-03 19:19:02.427056
3063789,3063789,(2000 UR16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3063789,23.9,0.04411182,0.0986370281,10.9895822727,46826163.29325675,2025-11-21,2025-Nov-21 14:51,Earth,false,false,2025-10-03 19:19:02.427056
3092506,3092506,(2001 WJ4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3092506,27.4,0.0088014652,0.0196806745,18.2830043948,74084958.19180362,2025-10-05,2025-Oct-05 05:34,Earth,false,false,2025-10-03 13:34:50.502954
3117427,3117427,(2002 EM7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3117427,24.4,0.0350392641,0.0783501764,15.3883398652,60678936.871182755,2025-11-03,2025-Nov-03 01:37,Earth,false,true,2025-10-03 19:19:00.869599
3163746,3163746,(2003 UC5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3163746,20.35,0.2262324906,0.5058712276,23.986036034,57588819.81151674,2025-10-09,2025-Oct-09 06:11,Earth,false,false,2025-10-03 13:34:50.502954
3164410,3164410,(2003 UG22),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3164410,21.2,0.1529519353,0.3420109247,25.2441463566,74516130.74349526,2025-10-30,2025-Oct-30 07:14,Earth,false,false,2025-10-03 19:19:00.869599
